questionPatternModEntities,questionPatternModEntitiesJP
Which distributor and producer of M1 did M0 found,M0はM1のどの配給者とプロデューサーを創設しましたか
Was M1 's founder a Dutch sibling of M0,M1の創設者はM0のオランダ人の兄弟姉妹でしたか
Was a German sibling of M0 M1 's employee,M0のあるドイツ人の兄弟姉妹はM1の被雇用者でしたか
What distributor and producer of M1 was founded by M0,M1のどの配給者とプロデューサーがM0に創設されましたか
What was written by M0 and produced by M1,何がM0に書かれ、M1にプロデュースされましたか
Was a company 's founder M0 's French sibling,ある会社の創設者はM0のフランス人の兄弟姉妹でしたか
Was M0 produced by M2 and written by M1,M0はM2にプロデュースされ、M1に書かれましたか
What was executive produced by M0 and written by M1,何がM0にエグゼクティブ・プロデュースされ、M1に書かれましたか
Which distributor and producer of M1 was founded by M0,M1のどの配給者とプロデューサーがM0に創設されましたか
"Did M0 's parent , spouse , and sibling marry M1",M0の親、配偶者と兄弟姉妹はM1と結婚しましたか
Was a costume designer M3 's Canadian male spouse,ある衣裳デザイナーはM3のカナダ人の男性の配偶者でしたか
What sequel of M1 was distributed and produced by M0,M1のどの続編がM0に配給され、プロデュースされましたか
What child and parent of a company did M0 acquire,M0が買収したのは会社のどの子会社と親会社ですか
Was M2 's producer and distributor founded by M0 and M1,M2のプロデューサーと配給者はM0とM1に創設されましたか
Was a actor that M2 was influenced by M0 's sibling,M2に影響したある俳優はM0の兄弟姉妹ですか
"What was written and edited by M0 , M1 , and M2",何がM0、M1とM2に書かれ、編集されましたか
What costume designer of a film was M0 's Spanish sibling,M0のスペインの兄弟姉妹は映画のどの衣裳デザイナーでしたか
Was a composer a Swedish female spouse of M3,ある作曲家はM3のスウェーデンの女性の配偶者でしたか
"Was M0 produced and edited by M1 , M2 , and M3",M0はM1、M2とM3にプロデュースされ、編集されましたか
What female sibling and spouse of M0 did M2 marry,M2が結婚したのはM0のどの女性の兄弟姉妹と配偶者でしたか
"What was written by and edited by M0 , M1 , and M2",何がM0、M1とM2に書かれ、編集されましたか
"Was M0 written by and edited by M1 , M2 , and M3",M0はM1、M2とM3に書かれ、編集されましたか
"Was M0 produced by and edited by M1 , M2 , and M3",M0はM1、M2とM3にプロデュースされ、編集されましたか
"What was produced by and executive produced by M0 , M1 , and M2",何がM0、M1とM2にプロデュースされ、エグゼクティブプロデュースされましたか
What female sibling of M0 was M1 's sibling and spouse,M1の兄弟姉妹と配偶者はM0のどの女性の兄弟姉妹でしたか
"Was M0 produced , directed , and written by M1 and M2",M0はM1とM2にプロデュースされ、監督され、書かれましたか
"Was a costume designer a star and editor of M1 , M2 , and M3",ある衣裳デザイナーはM1、M2とM3の主演と編集者でしたか
"Who was a editor and star of M1 , M2 , M3 , and M4",M1、M2、M3とM4の編集者と主演は誰でしたか
"What did M0 , M1 , M2 , and M3 edit and direct",M0、M1、M2とM3が編集し、監督したのは何ですか
"Was M0 directed and written by M1 , M2 , M3 , and M4",M0はM1、M2、M3とM4に監督され、書かれましたか
"Was M0 directed and produced by M1 , M2 , M3 , and M4",M0はM1、M2、M3とM4に監督され、プロデュースされましたか
"What was written , executive produced , produced , and edited by M0",何がM0に書かれ、エグゼクティブプロデュースされ、プロデュースされ、編集されましたか
"What writer and editor of M0 , M1 , and M2 was employed by M3",M0、M1とM2のどの作家と編集者がM3に雇用されましたか
"Was M0 executive produced and produced by M1 , M2 , M3 , and M4",M0はM1、M2、M3とM4にエグゼクティブプロデュースされ、プロデュースされましたか
"Was M0 edited , executive produced , produced , and written by M1",M0はM1に編集され、エグゼクティブプロデュースされ、プロデュースされ、書かれましたか
"What was directed , edited , and written by M0 , M1 , and M2",何がM0、M1とM2に監督され、編集され、書かれましたか
"What was directed , written , and edited by M0 , M1 , and M2",何がM0、M1とM2に監督され、書かれ、編集されましたか
"Was a cinematographer and director of M1 , M2 , M3 , and M4 a film producer",M1、M2、M3とM4のある撮影監督と監督は映画プロデューサーでしたか
"Was a actor a cinematographer and director of M1 , M2 , M3 , and M4",ある俳優はM1、M2、M3とM4の撮影監督と監督でしたか
"What was written , executive produced , and directed by M0 , M1 , and M2",何がM0、M1とM2に書かれ、エグゼクティブプロデュースされ、監督されましたか
"What did M0 , M1 , and M2 direct , edit , and write",M0、M1とM2は何を監督し、編集し、書きましたか
"Was M0 written and directed by M1 , M2 , M3 , M4 , and M5",M0はM1、M2、M3、M4とM5に書かれ、監督されましたか
"Did a film producer edit and write M1 , M2 , M3 , and M4",ある映画プロデューサーはM1、M2、M3とM4を編集し、書きましたか
"What was directed by and written by M0 , M1 , M2 , M3 , and M4",何がM0、M1、M2、M3とM4に監督され、書かれましたか
"What was directed by , written by , and edited by M0 , M1 , and M2",何がM0、M1とM2に監督され、書かれ、編集されましたか
"Did a film editor executive produce and write M1 , M2 , M3 , and M4",ある映画編集者はM1、M2、M3とM4をエグゼクティブプロデュースし、書きましたか
"Was M0 written by , edited by , and directed by M1 , M2 , and M3",M0はM1、M2とM3に書かれ、編集され、監督されましたか
"What writer and cinematographer of M0 , M1 , and M2 executive produced M3 and M4",M0、M1とM2のどの作家と撮影監督がM3とM4をエグゼクティブプロデュースしましたか
"Which film producer was a editor , executive producer , director , and writer of M1 and M2",どの映画プロデューサーがM1とM2の編集者、エグゼクティブプロデューサー、監督と作家でしたか
"Was M0 written by , directed by , and executive produced by M1 , M2 , and M3",M0はM1、M2とM3に書かれ、監督され、エグゼクティブプロデュースされましたか
"Was M0 written by , executive produced by , and directed by M1 , M2 , and M3",M0はM1、M2とM3に書かれ、エグゼクティブプロデュースされ、監督されましたか
"What writer , director , and executive producer of M0 and M1 executive produced M2 and M3",M0とM1のどの作家、監督とエグゼクティブプロデューサーがM2とM3をエグゼクティブプロデュースしましたか
"Which film was directed and written by M1 , M2 , M3 , M4 , and M5",どの映画がM1、M2、M3、M4とM5に監督され、書かれましたか
"Was a composer of M3 a star , director , and cinematographer of M0 , M1 , and M2",M3のある作曲家はM0、M1とM2の主演、監督と撮影監督でしたか
"Was a composer of M3 and M4 a editor and star of M0 , M1 , and M2",M3とM4のある作曲家はM0、M1とM2の編集者と主演でしたか
"What film did M1 , M2 , and M3 executive produce , write , and direct",M1、M2とM3がエグゼクティブプロデュースし、書き、監督したのはどの映画ですか
"What was directed by , written by , and edited by M0 , M1 , M2 , and M3",何がM0、M1、M2とM3に監督され、書かれ、編集されましたか
"Did a film editor write , executive produce , and edit M1 , M2 , and M3",ある映画編集者はM1、M2とM3を書き、エグゼクティブプロデュースし、編集しましたか
"Did a film producer executive produce , edit , and write M1 , M2 , and M3",ある映画プロデューサーはM1、M2とM3をエグゼクティブプロデュースし、編集し、書きましたか
"What writer and editor of M0 , M1 , and M2 did M3 marry and influence",M3が結婚し、影響したのはM0、M1とM2のどの作家と編集者ですか
"What writer , star , director , and composer of M0 and M1 was a director of M2",M2のある監督はM0とM1のどの作家、主演、監督と作曲家でしたか
"Was a cinematographer a star , writer , editor , cinematographer , and director of M0 and M1",ある撮影監督はM0とM1の主演、作家、編集者、撮影監督と監督でしたか
"Was a cinematographer and star of M1 , M2 , M3 , and M4 M0 's editor and executive producer",M1、M2、M3とM4のある撮影監督と主演はM0の編集者とエグゼクティブプロデューサーでしたか
"What cinematographer and editor of M6 did M0 , M1 , M2 , M3 , M4 , and M5 star",M0、M1、M2、M3、M4とM5が主演されたのはM6のどの撮影監督と編集者ですか
"What writer , editor , and director of M0 and M1 did M2 influence and marry",M2が影響し、結婚したのはM0とM1のどの作家、編集者と監督ですか
"Was M3 's editor , executive producer , and cinematographer a star and writer of M0 , M1 , and M2",M3の編集者、エグゼクティブプロデューサーと撮影監督はM0、M1とM2の主演と作家でしたか
"Did a film editor edit , write , and direct M1 , M2 , M3 , and M4",ある映画編集者はM1、M2、M3とM4を編集し、書き、監督しましたか
"What writer , executive producer , and editor of M1 and M2 executive produced and edited M0",M1とM2のどの作家、エグゼクティブプロデューサーと編集者がM0をエグゼクティブプロデュースし、編集しましたか
"Which film was directed by and was written by M1 , M2 , M3 , M4 , and M5",どの映画がM1、M2、M3、M4とM5に監督され、書かれましたか
"Was a star , editor , cinematographer , and writer of M0 and M1 M2 's executive producer and cinematographer",M0とM1のある主演、編集者、撮影監督と作家はM2のエグゼクティブプロデューサーと撮影監督でしたか
"Did a film editor 's spouse write and edit M0 , M1 , M2 , M3 , and M4",ある映画編集者の配偶者はM0、M1、M2、M3とM4を書き、編集しましたか
"What female film director edited , wrote , and directed M0 , M1 , and M2",どの女性の映画監督がM0、M1とM2を編集し、書き、監督しましたか
"What writer and director of M0 , M1 , M2 , and M3 was a Canadian editor of M5",M5のあるカナダ人の編集者はM0、M1、M2とM3のどの作家と監督でしたか
"Did a director and executive producer of M4 direct and write M0 , M1 , M2 , and M3",M4のある監督とエグゼクティブプロデューサーはM0、M1、M2とM3を監督し、書きましたか
Was M0 's founder and employee employed by M1 and M2 and employed by M3 and M4,M0の創設者と被雇用者はM1とM2に雇用され、M3とM4に雇用されましたか
"What film did M1 , M2 , and M3 write , edit , produce , and direct",M1、M2とM3はどの映画を書き、編集し、プロデュースし、監督しましたか
"What writer , cinematographer , star , editor , and director of M0 and M1 was a executive producer of M2",M2のあるエグゼクティブプロデューサーはM0とM1のどの作家、撮影監督、主演、編集者と監督でしたか
"Did a director , cinematographer , and writer of M3 write and edit M0 , M1 , and M2",M3のある監督、撮影監督と作家はM0、M1とM2を書き、編集しましたか
"Did M4 's American cinematographer edit , direct , and write M0 , M1 , and M2",M4のアメリカ人の撮影監督はM0、M1とM2を編集し、監督し、書きましたか
"What writer , cinematographer , and director of M0 , M1 , and M2 wrote and executive produced M3",M0、M1とM2のどの作家、撮影監督と監督がM3を書き、エグゼクティブプロデュースしましたか
"Which film was directed by , produced by , written by , and edited by M1 , M2 , and M3",どの映画がM1、M2とM3に監督され、プロデュースされ、書かれ、編集されましたか
"Was a costume designer that M2 , M3 , M4 , M5 , and M6 were written by and edited by M0",M2、M3、M4、M5とM6を書き、編集したある衣裳デザイナーはM0ですか
"Did a film producer write , executive produce , edit , and direct M1 , M2 , and M3",ある映画プロデューサーはM1、M2とM3を書き、エグゼクティブプロデュースし、編集し、監督しましたか
"What was a film that was edited by , written by , and directed by M1 , M2 , and M3",M1、M2とM3に編集され、書かれ、監督されたある映画は何ですか
"Which film was directed by , edited by , written by , and produced by M1 , M2 , and M3",どの映画がM1、M2とM3に監督され、編集され、書かれ、プロデュースされましたか
"Did M3 's director edit , executive produce , write , and direct M0 , M1 , and M2",M3の監督はM0、M1とM2を編集し、エグゼクティブプロデュースし、書き、監督しましたか
"Did M3 's director edit , write , executive produce , and direct M0 , M1 , and M2",M3の監督はM0、M1とM2を編集し、書き、エグゼクティブプロデュースし、監督しましたか
"What was a film that was executive produced by , directed by , and written by M1 , M2 , and M3",M1、M2とM3にエグゼクティブプロデュースされ、監督され、書かれたある映画は何ですか
"What editor and cinematographer of M1 , M2 , and M3 edited , executive produced , and directed M0",M1、M2とM3のどの編集者と撮影監督がM0を編集し、エグゼクティブプロデュースし、監督しましたか
"Was a cinematographer that M2 , M3 , and M4 were edited by , were directed by , and starred M0",M2、M3とM4を編集し、監督し、主演したある撮影監督はM0ですか
Was a actor that M1 and M2 were influenced by and M4 and M5 married M3 's founder,M1とM2に影響し、M4とM5と結婚したある俳優はM3の創設者ですか
What employee and founder of M0 and M1 was employed by M2 and was employed by M3 and M4,M0とM1のどの被雇用者と創設者がM2に雇用され、M3とM4に雇用されましたか
"What writer , cinematographer , star , and composer of M3 edited and directed M0 , M1 , and M2",M3のどの作家、撮影監督、主演と作曲家がM0、M1とM2を編集し、監督しましたか
"Did M2 's editor and executive producer direct , edit , write , and executive produce M0 and M1",M2の編集者とエグゼクティブプロデューサーはM0とM1を監督し、編集し、書き、エグゼクティブプロデュースしましたか
"Did a film producer that founded M4 , M5 , and M6 direct and write M1 , M2 , and M3",M4、M5とM6を創設したある映画プロデューサーはM1、M2とM3を監督し、書きましたか
"What executive producer , editor , composer , cinematographer , and director of M2 edited and wrote M0 and M1",M2のどのエグゼクティブプロデューサー、編集者、作曲家、撮影監督と監督がM0とM1を編集し、書きましたか
"Which American founder and employee of M0 was employed by M1 and employed by M2 , M3 , and M4",M0のどのアメリカの創設者と被雇用者がM1に雇用され、M2、M3とM4に雇用されましたか
"Was a star , writer , and editor of M0 , M1 , and M2 M3 's cinematographer , director , editor , and composer",M0、M1とM2のある主演、作家と編集者はM3の撮影監督、監督、編集者と作曲家でしたか
"Was M0 's executive producer and writer employed by M1 , M2 , and M3 and employed by M4 , M5 , and M6",M0のエグゼクティブプロデューサーと作家はM1、M2とM3に雇用され、M4、M5とM6に雇用されましたか
"What cinematographer and writer of M0 , M1 , M2 , and M3 directed , wrote , and executive produced M4",M0、M1、M2とM3のどの撮影監督と作家がM4を監督し、書き、エグゼクティブプロデュースしましたか
"What cinematographer , director , and editor of M3 and M4 executive produced M0 and executive produced M1 and M2",M3とM4のどの撮影監督、監督と編集者がM0をエグゼクティブプロデュースし、M1とM2をエグゼクティブプロデュースしましたか
"Did a director and editor of M0 , M1 , M2 , and M3 marry M4 and M5 and marry M6",M0、M1、M2とM3のある監督と編集者はM4とM5と結婚し、M6と結婚しましたか
"Was M0 a male person that M2 , M3 , and M4 were written by , edited by , and directed by",M0はM2、M3とM4を書き、編集し、監督した男性の人ですか
"What distributor and producer of M6 was acquired by M0 and M1 and acquired by M2 , M3 , M4 , and M5",M6のどの配給者とプロデューサーはM0とM1に買収され、M2、M3、M4とM5に買収されましたか
"What composer , editor , and director of M3 and M4 directed M5 and edited M0 , M1 , and M2",M3とM4のどの作曲家、編集者と監督がM5を監督し、M0、M1とM2を編集しましたか
Did a film director that M2 and M3 were directed by and starred influence M0 and influence M1,M2とM3を監督し、主演したある映画監督はM0に影響し、M1に影響しましたか
"Did a film editor that married M5 , M6 , and M7 and influenced M1 , M2 , and M3 found M4",M5、M6とM7と結婚し、M1、M2とM3に影響したある映画編集者はM4を創設しましたか
"Which director , star , and writer of M0 , M1 , and M2 married , influenced , and was influenced by M3",M0、M1とM2のどの監督、主演と作家がM3と結婚し、影響し、影響されましたか
"What distributor and producer of M6 was acquired by M0 and M1 and acquired M2 , M3 , M4 , and M5",M6のどの配給者とプロデューサーはM0とM1に買収され、M2、M3、M4とM5を買収しましたか
"Was a star , editor , and cinematographer of M4 and M5 a Spanish writer and director of M0 , M1 , and M2",M4とM5のある主演、編集者と撮影監督はM0、M1とM2のスペイン人の作家と監督でしたか
"Was a cinematographer that M1 and M2 were founded by and M3 , M4 , and M5 were founded by M6 's spouse",M1とM2を創設し、M3、M4とM5を創設したある撮影監督はM6の配偶者ですか
"Which cinematographer and star of M1 , M2 , and M3 wrote , directed , executive produced , and edited M0",M1、M2とM3のどの撮影監督と主演がM0を書き、監督し、エグゼクティブプロデュースし、編集しましたか
"Which writer and cinematographer of M0 , M1 , M2 , and M3 married a person and influenced M4 and M5",M0、M1、M2とM3のどの作家と撮影監督が人と結婚し、M4とM5に影響しましたか
"Was a cinematographer that M1 and M2 were directed by , executive produced by , edited by , and written by M3 's director",M1とM2を監督し、エグゼクティブプロデュースし、編集し、書いたある撮影監督はM3の監督ですか
"Did a film director that M1 , M2 , and M3 were written by and were edited by marry and influence M4",M1、M2とM3を書き、編集したある映画監督はM4と結婚し、影響しましたか
"What distributor and producer of M6 was acquired by M0 , M1 , M2 , and M3 and was acquired by M4 and M5",M6のどの配給者とプロデューサーがM0、M1、M2とM3に買収され、M4とM5に買収されましたか
"What film directed by , produced by , and written by M3 , M4 , M5 , and M6 starred M1 and M2",M3、M4、M5とM6に監督され、プロデュースされ、書かれたどの映画がM1とM2に主演されましたか
